% Messparameter LVDT-Messung
%
% Version PC-Software: 1.0.4.20488
% Firmware MCU: GP22_V1.0.0
% GP22-Konfigurationsregister:
% Register 00: F3C5E801
% Register 01: 21420000
% Register 02: 20000000
% Register 03: 18000000
% Register 04: 10000000
% Register 05: 40000000
% Register 06: 00006000
% DDS-Frequenz [Hz]: 1000000
% TDC-Clock [Hz]: 4000000
% Offset: 0
% Messdatum: 09.11.2017 16:11:37
%
% Zeit LVDT Status
0.0000 262.310944 0x0000
0.0860 260.433655 0x0000
0.2100 261.261749 0x0000
0.4100 261.101074 0x0000
0.6930 262.975616 0x0000
0.8280 262.176361 0x0000
1.0130 263.365631 0x0000
1.2120 262.674866 0x0000
1.4170 260.566864 0x0000
1.6870 262.077484 0x0000
1.8650 261.316681 0x0000
2.0180 262.783356 0x0000
2.2210 31.206665 0x0000
2.4200 262.235413 0x0000
2.6210 262.689972 0x0000
2.8220 261.427917 0x0000
3.0230 262.541656 0x0000
3.2260 261.459503 0x0000
3.4210 263.082733 0x0000
3.6900 261.616058 0x0000
3.8230 264.153900 0x0000
4.0290 262.809448 0x0000
4.2310 263.288727 0x0000
4.4300 262.073364 0x0000
4.6310 263.456268 0x0000
4.8320 264.230804 0x0000
5.0350 264.140167 0x0000
5.2340 261.953888 0x0000
5.4340 261.893463 0x0000
5.7010 263.391724 0x0000
5.8330 261.944275 0x0000
6.0380 261.263123 0x0000
6.2390 263.056641 0x0000
6.4390 262.674866 0x0000
6.6410 262.529297 0x0000
6.8430 261.948395 0x0000
7.0430 26.869812 0x0000
7.2450 261.845398 0x0000
7.4450 260.169983 0x0000
7.7140 262.769623 0x0000
7.8440 262.304077 0x0000
8.0480 263.231049 0x0000
8.2480 262.415314 0x0000
8.4500 261.246643 0x0000
8.6520 262.356262 0x0000
8.8510 265.509338 0x0000
9.0530 261.061249 0x0000
9.2530 262.868500 0x0000
9.4540 261.761627 0x0000
9.6520 264.164886 0x0000
9.8560 263.272247 0x0000
10.0580 264.234924 0x0000
10.2590 263.680115 0x0000
10.4600 264.119568 0x0000
10.6620 263.150024 0x0000
