% Messparameter LVDT-Messung
%
% Version PC-Software: 1.0.4.27379
% Firmware MCU: GP22_V1.0.0
% GP22-Konfigurationsregister:
% Register 00: 03C5EA01
% Register 01: 21420000
% Register 02: 20000000
% Register 03: 18000000
% Register 04: 10000000
% Register 05: 40000000
% Register 06: 00006000
% DDS-Frequenz [Hz]: 400000
% TDC-Clock [Hz]: 4000000
% Offset: -1,149
% Faktor [mm/µs]: 2740
% Anzahl 'M' der Messwerte für Mittelwert: 10
% Grenze 'G' für Abweichung vom vorherigen Wert, ab der korrigiert wird [µs]*: 1,1
% * Tatsächlich verwendeter Wert ist: G/M. **AK ist die Anzahl korrigierter Werte.
% Messdatum: 10.11.2017 15:17:28
%
% Zeit LVDT Weg AK** Status
25.4220 0.006193 16,969721 8 0x0000
25.5340 0.008227 22,540781 8 0x0000
25.7350 0.011500 31,508829 8 0x0000
25.9370 0.008360 22,906611 8 0x0000
26.1370 0.005213 14,283488 8 0x0000
26.3420 0.010924 29,930536 8 0x0000
26.5410 0.007845 21,495554 8 0x0000
26.7430 0.008795 24,098170 8 0x0000
26.9410 0.010649 29,177973 8 0x0000
27.1430 0.010649 29,177973 9 0x0000
27.3450 0.007998 21,913645 9 0x0000
27.5450 0.008894 24,369929 9 0x0000
27.7450 0.008978 24,599879 9 0x0000
27.9460 0.012591 34,498179 9 0x0000
28.1460 0.012491 34,226420 9 0x0000
28.3480 0.007479 20,492136 9 0x0000
28.5500 0.009146 25,059778 9 0x0000
28.7500 0.011263 30,860789 9 0x0000
28.9510 0.012591 34,498179 9 0x0000
29.1520 0.013647 37,393458 9 0x0000
29.3560 0.008757 23,993647 9 0x0000
29.5560 0.010039 27,505610 9 0x0000
29.7560 0.013083 35,846522 9 0x0000
29.9570 0.010595 29,031641 9 0x0000
30.1590 0.013804 37,822001 9 0x0000
30.3590 0.014811 40,581400 9 0x0000
30.5610 0.016478 45,149042 9 0x0000
30.7600 0.010832 29,679682 9 0x0000
30.9620 0.013689 37,508433 9 0x0000
31.2490 0.014567 39,912455 9 0x0000
31.3640 0.013800 37,811548 9 0x0000
31.5650 0.013277 36,379587 9 0x0000
31.7660 0.016321 44,720499 9 0x0000
31.9680 0.016646 45,608942 9 0x0000
32.1690 0.014879 40,769541 9 0x0000
32.3690 0.011751 32,198679 9 0x0000
32.5720 0.011751 32,198679 10 0x0000
32.7720 0.013498 36,985819 10 0x0000
32.9730 0.015963 43,737986 10 0x0000
33.1740 0.013197 36,160090 10 0x0000
33.3750 0.017744 48,619196 10 0x0000
33.5760 0.015688 42,985422 10 0x0000
33.7770 0.015814 43,330347 10 0x0000
33.9770 0.016298 44,657786 10 0x0000
34.1780 0.016298 44,657786 11 0x0000
34.3790 0.017786 48,734171 11 0x0000
34.5800 0.017786 48,734171 12 0x0000
34.7820 0.015848 43,424418 12 0x0000
34.9820 0.017256 47,281306 12 0x0000
35.2660 0.017668 48,410151 12 0x0000
35.3850 0.019701 53,981211 12 0x0000
35.5900 0.020586 56,406138 12 0x0000
35.7870 0.020327 55,695383 12 0x0000
35.9880 0.020296 55,611765 12 0x0000
36.1900 0.020628 56,521113 12 0x0000
36.3910 0.020628 56,521113 13 0x0000
36.5910 0.018397 50,406534 13 0x0000
36.7920 0.019129 52,413370 13 0x0000
36.9930 0.020483 56,123926 13 0x0000
37.2820 0.022947 62,876093 13 0x0000
37.3940 0.021528 58,987849 13 0x0000
37.5950 0.021284 58,318903 13 0x0000
37.8220 0.023615 64,705240 13 0x0000
37.9980 0.022791 62,447550 13 0x0000
38.1990 0.024355 66,732981 13 0x0000
38.3990 0.021544 59,029658 13 0x0000
38.6000 0.022986 62,980616 13 0x0000
38.8030 0.024557 67,286951 13 0x0000
39.0030 0.023207 63,586848 13 0x0000
39.2960 0.023607 64,684336 13 0x0000
39.4050 0.019789 54,221613 13 0x0000
39.6050 0.020315 55,664026 13 0x0000
39.8070 0.024508 67,151072 13 0x0000
40.0070 0.021219 58,141215 13 0x0000
40.2080 0.021525 58,977396 13 0x0000
40.4090 0.021525 58,977396 14 0x0000
40.6110 0.026323 72,126353 14 0x0000
40.8140 0.024576 67,339213 14 0x0000
41.0120 0.023024 63,085139 14 0x0000
41.2960 0.023024 63,085139 15 0x0000
41.4150 0.023878 65,426447 15 0x0000
41.6160 0.027903 76,453593 15 0x0000
41.8250 0.027903 76,453593 16 0x0000
42.0180 0.027342 74,917109 16 0x0000
42.2180 0.027479 75,293391 16 0x0000
42.4200 0.027792 76,150477 16 0x0000
42.6200 0.028910 79,212992 16 0x0000
42.8210 0.028910 79,212992 17 0x0000
43.0230 0.028254 77,415201 17 0x0000
43.3130 0.030958 84,825861 17 0x0000
43.4250 0.029261 80,174601 17 0x0000
43.6250 0.026629 72,962534 17 0x0000
43.8270 0.023108 63,315089 17 0x0000
44.0270 0.030523 83,634302 17 0x0000
44.2300 0.032496 89,038126 17 0x0000
